node1,node2,rel
9031,19588,2
9032,18563,2
9032,18601,2
9032,18746,2
9032,18768,2
9032,18804,2
9032,19528,2
9033,18452,2
9033,18467,2
9033,18624,2
9033,18681,2
9033,18692,2
9033,18901,2
9033,21871,2
9034,18403,2
9034,18453,2
9034,19460,2
9034,18883,2
9034,21821,2
9034,22171,2
9035,18403,2
9035,18411,2
9035,18561,2
9035,18754,2
9035,18838,2
9035,19164,2
9035,19374,2
9036,18411,2
9036,18746,2
9036,18819,2
9036,19072,2
9036,19927,2
9037,18418,2
9037,18489,2
9037,18515,2
9037,18746,2
9037,19079,2
9038,18468,2
9038,18746,2
9038,18958,2
9038,19340,2
9038,18647,2
9039,18532,2
9039,18740,2
9039,18754,2
9039,18790,2
9039,18851,2
9039,19040,2
9039,20426,2
9039,21227,2
9040,18411,2
9040,18446,2
9040,18561,2
9040,18611,2
9040,19072,2
9040,19065,2
9040,19340,2
9040,21405,2
9041,18392,2
9041,18581,2
9041,18754,2
9041,18601,2
9041,18884,2
9042,18411,2
9042,18471,2
9042,18667,2
9042,18754,2
9042,19291,2
9042,20073,2
9042,20535,2
9043,18611,2
9043,18754,2
9043,18786,2
9043,18805,2
9043,20261,2
9043,20806,2
9043,21465,2
9044,18392,2
9044,18624,2
9044,18733,2
9044,18754,2
9044,18828,2
9044,18851,2
9044,18900,2
9044,20129,2
9044,20166,2
9044,20906,2
9045,18443,2
9045,18746,2
9045,19072,2
9045,20678,2
9045,21779,2
9046,18412,2
9046,18481,2
9046,18502,2
9046,20093,2
9046,21852,2
9047,18573,2
9047,18624,2
9047,18701,2
9047,18757,2
9047,18783,2
9047,18883,2
9047,19381,2
9048,18446,2
9048,18424,2
9048,18956,2
9048,18957,2
9048,19583,2
9048,19923,2
9049,18466,2
9049,18801,2
9049,19103,2
9049,18689,2
9049,19460,2
9049,21815,2
9050,18390,2
9050,18471,2
9050,18771,2
9050,18920,2
9050,19009,2
9050,19806,2
9050,20308,2
9051,18392,2
9051,18488,2
9051,19455,2
9051,20166,2
9051,20906,2
9051,21486,2
9052,18704,2
9052,18395,2
9052,21965,2
9053,18390,2
9053,18439,2
9053,18583,2
9053,18900,2
9053,19138,2
9053,19873,2
9054,18446,2
9054,18746,2
9054,19219,2
9055,18415,2
9055,18453,2
9055,18471,2
9055,18474,2
9055,18561,2
9055,18667,2
9055,18830,2
