source,target
9031,19588
9032,18563
9032,18601
9032,18746
9032,18768
9032,18804
9032,19528
9033,18452
9033,18467
9033,18624
9033,18681
9033,18692
9033,18901
9033,21871
9034,18403
9034,18453
9034,19460
9034,18883
9034,21821
9034,22171
9035,18403
9035,18411
9035,18561
9035,18754
9035,18838
9035,19164
9035,19374
9036,18411
9036,18746
9036,18819
9036,19072
9036,19927
9037,18418
9037,18489
9037,18515
9037,18746
9037,19079
9038,18468
9038,18746
9038,18958
9038,19340
9038,18647
9039,18532
9039,18740
9039,18754
9039,18790
9039,18851
9039,19040
9039,20426
9039,21227
9040,18411
9040,18446
9040,18561
9040,18611
9040,19072
9040,19065
9040,19340
9040,21405
9041,18392
9041,18581
9041,18754
9041,18601
9041,18884
9042,18411
9042,18471
9042,18667
9042,18754
9042,19291
9042,20073
9042,20535
9043,18611
9043,18754
9043,18786
9043,18805
9043,20261
9043,20806
9043,21465
9044,18392
9044,18624
9044,18733
9044,18754
9044,18828
9044,18851
9044,18900
9044,20129
9044,20166
9044,20906
9045,18443
9045,18746
9045,19072
9045,20678
9045,21779
9046,18412
9046,18481
9046,18502
9046,20093
9046,21852
9047,18573
9047,18624
9047,18701
9047,18757
9047,18783
9047,18883
9047,19381
9048,18446
9048,18424
9048,18956
9048,18957
9048,19583
9048,19923
9049,18466
9049,18801
9049,19103
9049,18689
9049,19460
9049,21815
9050,18390
9050,18471
9050,18771
9050,18920
9050,19009
9050,19806
9050,20308
9051,18392
9051,18488
9051,19455
9051,20166
9051,20906
9051,21486
9052,18704
9052,18395
9052,21965
9053,18390
9053,18439
9053,18583
9053,18900
9053,19138
9053,19873
9054,18446
9054,18746
9054,19219
9055,18415
9055,18453
9055,18471
9055,18474
9055,18561
9055,18667
9055,18830
9055,19431
9055,19460
9055,20073
9056,18446
9056,18782
9056,18804
9056,18863
9056,19112
9056,19072
9056,19269
9056,20779
9057,18411
9057,18561
9057,18681
9057,18783
9057,19072
9057,22132
9058,18412
9058,18743
9058,18746
9058,18754
9058,18916
9058,19251
9058,20649
9059,18738
9059,19049
9059,19071
9059,19430
9059,20159
9059,20303
9060,18467
9060,18704
9060,18746
9060,18804
9060,18758
9060,18885
9060,20246
9060,22261
9061,18420
9061,18611
9061,18746
9061,18933
9061,19072
9061,19162
9061,20379
9062,18386
9062,18392
9062,18754
9062,19287
9063,18411
9063,18416
9063,18388
9063,18704
9063,18601
9063,19425
9063,19928
9063,18978
9064,18411
9064,18426
9064,18557
9064,18560
9064,18932
9064,19111
9064,18539
9064,20407
9065,18571
9065,18801
9065,18838
9065,18916
9065,18689
9066,18403
9066,18467
9066,18653
9066,19134
9066,19328
9067,18746
9067,18754
9067,18762
9067,18905
9068,18662
9068,18746
9068,18980
9068,19135
9068,19641
9068,19814
9069,18388
9069,18561
9069,18944
9069,19057
9069,19902
9069,19922
9069,20145
9070,18403
9070,18833
9070,18838
9070,19455
9070,20090
9071,18403
9071,18502
9071,19072
9072,18467
9072,18624
9072,18746
9072,18925
9073,18411
9073,18416
9073,18754
9073,19013
9073,19072
9073,20556
9073,21567
9073,22372
9074,18452
9074,18743
9074,18535
9075,18722
9075,18746
9075,18838
9075,19072
9075,18611
9076,18398
9076,18411
9076,18467
9076,18568
9076,18569
9076,18601
9077,18703
9077,18740
9077,18932
9077,18971
9077,19082
9077,18448
9077,20259
9078,18446
9078,18561
9078,18691
9078,18784
9078,18833
9078,18840
9078,18917
9078,18932
9078,19641
9078,20218
9079,18861
9079,18779
9079,19759
9079,19175
9079,24298
9080,18557
9081,18403
9081,18411
9081,18422
9081,18847
9081,18838
9081,18689
9081,19585
9081,19510
9081,20876
9082,18403
9082,19029
9082,19058
9082,19306
9082,19588
9082,21039
9082,21134
9083,18561
9083,18624
9083,18754
9083,18925
9083,19382
9084,18446
9084,18453
9084,18502
9084,18981
9084,19103
9085,18667
9085,19099
9085,19291
9085,19326
9085,20073
9086,18557
9086,18754
9086,18849
9086,18971
9087,18703
9087,18746
9087,18754
9087,18759
9087,18794
9087,18838
9087,18932
9087,18947
9087,18948
9087,20966
9088,18471
9088,18981
9088,18982
9088,21416
9089,18420
9089,18746
9089,19072
9089,19144
9089,19145
9089,19365
9089,19162
9090,18415
9090,18446
9090,18582
9090,18624
9090,18388
9090,18700
9090,18715
9090,18754
9090,18683
9090,19009
9090,19494
9090,19545
9090,19551
9090,20006
9090,20203
9090,19790
9090,22502
9091,18561
9091,19175
9091,21039
9092,18392
9092,18704
9092,18849
9092,19302
9092,19491
9092,21055
9093,18561
9093,18770
9094,18561
9094,18744
9094,18904
9094,20323
9095,18476
9095,18746
9095,18783
9095,19072
9095,20464
9096,18415
9096,18746
9096,18754
9096,19004
9096,19112
9096,19116
9096,19649
9096,21628
9096,23032
9096,22719
9097,18453
9097,18863
9097,18982
9097,18423
9097,20558
9097,21269
9098,18393
9098,18411
9098,18561
9098,18570
9098,18582
9098,18653
9098,18754
9098,18932
9098,19012
9098,19187
9098,19329
9099,18502
9099,18683
9099,18746
9099,18819
9099,18768
9100,18560
9100,18740
9100,18746
9100,18754
9100,18932
9100,19112
9100,18668
9100,18689
9100,19663
9100,20583
9101,18738
9101,19408
9101,19546
9102,18746
9102,20476
9103,18561
9103,18738
9103,18861
9103,18786
9103,20839
9103,21022
9104,18424
9104,18446
9104,18560
9104,18676
9104,18624
9104,18388
9104,18932
9104,19225
9104,19269
9104,20422
9105,18411
9105,18683
9105,18759
9105,18779
9105,18847
9105,18965
9105,19510
9105,19707
9106,18450
9106,18471
9106,19049
9106,19058
9106,20393
9106,20829
9107,18532
9107,18746
9107,18768
9107,18601
9107,18413
9107,19085
9107,22753
9108,18683
9108,18746
9108,18753
9108,18757
9108,18774
9108,18783
9108,19072
9109,18783
9109,18784
9109,19641
9109,19664
9109,22715
9110,18471
9110,18746
9110,18754
9110,18611
9111,18392
9111,18624
9111,19135
9111,19225
9111,19306
9111,20422
9112,18488
9112,18512
9112,19947
9112,19873
9113,18430
9113,18520
9113,18587
9113,18746
9113,18689
9113,20464
9113,20467
9114,18422
9114,18471
9114,18740
9114,18980
9114,18983
9114,18405
9114,20428
9115,18746
9115,18803
9115,18855
9115,18988
9115,19072
9115,21119
9116,18403
9116,18611
9116,18715
9116,18838
9116,18900
9116,19873
9116,21677
9117,18446
9117,18746
9117,18754
9117,18786
9117,20258
9117,19120
9117,22464
9117,23472
9118,18532
9118,18623
9118,19013
9119,18624
9119,18861
9119,18872
9119,18895
9119,18837
9120,18432
9120,18417
9120,18742
9120,19460
9121,18561
9121,18983
9121,22502
9122,18704
9122,18746
9122,18804
9122,18819
9122,18655
9122,25898
9123,18411
9123,18661
9123,18798
9123,19798
9123,19013
9124,18561
9124,18754
9124,18833
9124,18906
9125,18466
9125,18754
9125,19083
9125,21431
9125,22122
9126,18855
9126,18701
9126,18777
9126,21206
9126,23022
9127,18754
9127,18916
9127,19269
9127,18825
9128,18392
9128,18471
9128,18704
9128,19285
9128,19585
9128,20259
9128,21484
9129,18743
9129,19053
9129,22767
9130,18453
9130,18920
9130,19106
9130,19257
9130,18689
9130,20209
9130,22146
9130,24043
9131,19079
9131,18819
9131,19794
9132,19043
9132,22424
9133,18801
9133,19446
9133,19873
9134,18392
9134,18395
9134,18573
9134,19467
9134,18647
9134,19707
9134,20018
9134,22357
9135,18501
9135,18507
9135,19250
9135,19528
9135,21703
9136,18659
9136,18862
9136,19154
9136,20189
9137,18453
9137,19070
9137,19362
9137,19585
9138,18648
9138,18624
9138,18855
9138,19099
9138,19282
9138,20940
9139,18411
9139,18413
9139,18446
9139,18483
9139,18624
9139,18746
9139,19072
9139,19192
9139,20349
9140,18466
9140,18667
9140,18947
9140,19528
9140,20073
9141,18411
9141,18471
9141,18532
9141,18560
9141,18786
9141,18932
9141,19120
9141,19854
9141,19790
9142,18426
9142,18561
9142,18624
9142,19680
9142,20730
9142,22132
9143,18392
9143,18735
9143,19287
9143,19666
9143,19667
9143,22970
9144,18413
9144,18689
9144,19038
9144,20918
9145,18392
9145,18859
9145,18647
9145,20521
9145,22357
9146,18617
9146,18601
9146,19072
9147,18502
9147,18554
9147,18746
9147,18754
9147,18783
9147,18786
9147,18884
9148,18481
9148,18502
9148,18956
9148,19361
9149,18473
9149,18746
9149,18784
9149,18854
9149,19072
9149,19641
9149,19798
9149,20169
9149,20278
9150,18515
9150,18929
9150,18981
9150,19103
9150,19340
9150,19058
9150,20933
9151,18461
9151,18601
9151,18746
9151,18768
9151,18916
9151,19111
9152,18392
9152,18453
9152,18667
9152,18746
9152,18754
9152,18895
9152,20073
9152,21305
9153,18424
9153,18746
9153,18855
9153,18971
9153,19645
9153,21096
9153,21250
9154,18422
9154,18446
9154,18471
9154,18554
9154,18740
9154,18738
9154,19133
9155,18629
9155,18635
9155,18746
9155,18803
9155,18900
9155,19298
9155,18786
9156,18546
9156,18798
9156,19070
9156,19928
9156,19353
9157,18421
9157,18453
9157,18626
9157,19340
9157,20287
9157,20933
9157,20580
9158,18386
9158,18754
9158,18870
9158,19227
9158,18647
9158,20081
9158,23377
9160,18746
9160,18783
9160,18881
9160,21874
9160,23956
9161,18411
9161,18413
9161,18457
9161,18471
9161,18667
9161,18701
9161,18754
9161,19096
9161,20073
9161,19013
9161,20918
9162,18453
9162,18738
9162,18923
9162,18982
9162,19037
9162,19306
9162,19376
9162,20382
9163,18432
9163,18446
9163,18929
9163,18742
9163,20132
9163,21592
9164,18415
9164,18570
9164,18689
9164,18759
9164,18977
9164,19040
9164,19078
9165,18411
9165,18422
9165,18453
9165,18561
9165,18840
9165,22056
9166,18411
9166,18453
9166,18683
9166,18847
9166,19145
9166,20209
9167,18452
9167,18884
9167,19585
9167,20037
9168,18746
9168,18754
9168,18983
9168,20865
9169,18446
9169,18452
9169,18453
9169,18489
9169,18573
9169,18746
9169,18983
9169,18768
9169,20311
9169,20363
9170,18403
9170,18430
9170,18467
9170,18754
9170,18878
9170,18838
9170,19362
9170,18689
9171,18392
9171,18502
9171,19414
9171,19528
9171,19585
9172,18392
9172,18403
9172,18453
9172,18611
9172,18719
9172,19936
9172,21219
9173,18446
9173,18570
9173,19037
9173,19145
9173,19160
9173,19269
9174,18624
9174,18746
9174,18833
9174,18917
9174,18819
9174,20467
9174,22575
9174,19927
9175,18861
9175,20774
9175,19375
9176,18746
9176,18783
9176,18784
9176,18786
9177,18513
9177,18799
9177,19233
9177,18701
9178,18561
9178,19176
9178,20422
9178,21209
9179,18746
9179,18818
9179,19081
9179,19692
9179,18851
9180,18471
9180,18833
9180,19070
9180,19431
9180,19585
9180,20308
9181,19072
9181,19875
9181,22452
9182,18411
9182,18557
9182,18667
9182,18743
9182,18754
9182,18782
9182,19602
9182,20073
9182,20422
9183,18446
9183,18561
9183,18786
9183,18980
9183,20066
9183,20246
9184,18424
9184,18520
9184,18570
9184,18746
9184,18783
9184,19072
9184,19404
9184,20120
9184,20555
9185,18471
9185,18754
9185,18786
9185,18643
9185,20528
9185,20589
9186,18965
9186,19577
9186,20151
9186,20246
9186,20269
9186,20431
9186,20988
9186,22501
9187,18563
9187,18754
9187,19226
9187,19227
9188,18466
9188,18483
9188,18783
9188,18833
9188,18854
9188,19072
9189,18466
9189,18627
9189,18667
9189,18861
9189,18866
9189,19111
9189,20073
9189,22226
9189,24298
9190,18392
9190,19306
9190,20138
9190,20281
9190,19886
9191,19070
9191,19873
9192,18385
9192,18403
9192,18573
9192,18838
9192,19403
9193,18466
9193,18570
9193,18507
9193,18759
9193,18980
9193,19010
9193,18405
9193,19780
9193,20479
9194,20017
9194,18561
9195,18392
9195,18611
9195,18811
9195,19070
9195,19431
9195,20422
9195,21275
9196,18422
9196,18446
9196,18471
9196,19145
9196,18819
9197,18507
9197,18746
9197,18754
9197,18683
9197,19032
9197,20057
9198,18453
9198,18983
9198,19482
9198,20906
9198,21486
9198,22502
9199,18411
9199,18476
9199,18611
9199,18876
9199,18407
9199,19255
9199,20298
9199,21242
9199,21588
9200,18446
9200,18467
9200,18674
9200,19079
9200,19952
9201,18390
9201,18428
9201,18446
9201,18561
9201,19029
9201,19057
9201,19306
9201,19902
9201,19922
9201,20017
9202,18392
9202,18411
9202,18624
9203,18501
9203,18987
9203,19140
9203,19313
9203,19358
9203,19460
9203,19528
9203,20203
9204,18434
9204,18746
9204,18783
9204,18804
9204,19072
9204,19493
9204,19641
9204,18655
9204,21517
9205,18392
9205,18520
9205,18502
9205,18624
9205,18847
9206,18653
9206,18754
9206,18823
9206,18833
9206,18738
9206,18859
9207,18738
9207,18740
9207,19408
9207,20916
9208,18411
9208,18471
9208,18554
9208,18738
9208,19037
9208,19163
9208,19753
9208,18604
9208,20052
9209,18532
9209,18801
9209,18840
9209,18838
9209,18901
9209,18958
9209,18689
9209,19024
9210,18436
9210,18442
9210,18648
9210,18855
9210,19002
9211,18507
9211,19057
9211,19081
9211,19902
9212,19106
9212,19151
9212,19177
9212,19455
9212,19571
9212,19806
9213,18403
9213,18446
9213,18601
9213,18903
9213,19111
9213,18647
9213,19645
9213,19668
9213,20467
9213,20470
9214,18489
9214,18573
9214,18900
9214,19219
9214,19321
9214,19376
9214,19430
9215,18746
9215,18819
9215,19072
9215,20288
9215,20297
9216,18532
9216,18561
9216,18841
9216,18986
9216,18808
9217,19103
9217,20302
9218,18392
9218,18453
9218,18746
9218,18783
9218,18784
9218,19419
9218,20558
9219,18453
9219,18982
9219,19037
9219,19099
9219,19376
9220,18738
9220,18746
9220,18783
9220,18854
9220,19072
9220,20095
9221,18611
9221,19727
9221,20293
9222,18546
9222,18561
9222,18798
9222,19458
9222,21152
9223,18754
9223,18783
9223,18784
9223,18785
9223,18786
9223,18881
9223,20559
9224,18412
9224,18861
9224,19013
9224,20248
9224,20052
9225,18466
9225,18476
9225,19072
9225,20379
9225,19030
9226,18611
9226,18746
9226,18783
9226,18939
9226,18883
9227,18403
9227,18833
9227,18855
9227,19057
9227,19179
9227,21167
9227,22683
9228,18561
9228,18754
9228,18757
9228,18786
9228,18814
9228,20422
9229,19186
9229,19585
9229,20995
9229,22502
9230,18422
9230,18582
9230,18840
9230,19029
9230,19585
9231,18703
9231,19269
9231,18900
9232,18801
9232,18881
9232,21000
9232,21446
9233,18392
9233,18561
9233,18840
9233,19029
9233,18535
9233,19287
9233,19306
9233,20220
9234,18403
9234,18412
9234,18446
9234,18838
9234,18929
9235,18932
9235,18442
9235,19179
9235,20327
9236,18446
9236,18450
9236,18856
9236,19008
9236,18962
9236,19291
9236,20077
9236,19553
9237,18453
9237,18838
9237,18882
9237,18901
9237,19099
