source,target,count
750,9417,15
751,9415,3
752,9415,1
752,9417,3
752,9423,12
753,9419,11
753,9424,2
754,9415,1
754,9422,3
755,9417,2
755,9423,1
756,9422,1
756,9423,2
757,9417,4
758,9417,17
759,9417,4
760,9417,3
761,9417,10
762,9417,2
762,9423,1
763,9417,1
763,9419,5
763,9424,2
764,9417,7
765,9417,6
766,9415,1
766,9423,2
767,9415,5
768,9417,44
769,9415,3
770,9423,1
770,9424,57
771,9423,3
772,9417,3
773,9423,3
773,9424,3
774,9419,11
775,9417,6
776,9415,3
777,9417,4
778,9424,16
779,9417,21
780,9417,3
781,9415,9
782,9417,6
783,9415,1
783,9419,2
783,9422,4
784,9415,6
785,9419,4
786,9423,5
787,9415,16
788,9417,8
789,9415,29
790,9423,12
791,9415,1
791,9419,1
791,9423,1
791,9424,1
792,9415,9
793,9417,3
794,9417,3
795,9415,3
796,9424,66
797,9419,37
798,9415,3
799,9415,66
800,9423,3
801,9419,11
802,9417,6
803,9415,14
804,9417,11
805,9423,8
806,9417,5
807,9424,3
808,9423,4
809,9424,6
810,9419,217
810,9422,1
811,9423,3
812,9417,16
813,9417,5
814,9419,4
815,9417,13
816,9419,4
817,9419,30
818,9419,6
819,9417,14
820,9415,2
820,9419,1
821,9423,4
822,9417,5
823,9423,3
824,9424,4
825,9424,3
826,9417,8
827,9419,1
827,9421,3
828,9417,8
829,9420,11
830,9415,5
831,9415,14
832,9419,9
833,9423,3
834,9419,5
835,9423,5
836,9419,1
836,9423,4
836,9424,7
837,9423,3
838,9417,4
839,9424,8
840,9424,5
841,9424,3
842,9424,9
843,9419,3
843,9421,9
844,9424,4
845,9420,4
845,9423,2
845,9424,1
846,9423,3
847,9417,4
848,9423,4
849,9417,15
850,9417,3
851,9419,8
852,9417,6
852,9423,3
853,9419,4
854,9419,3
855,9417,1
855,9423,6
855,9424,3
856,9420,3
857,9419,4
858,9417,4
859,9415,1
859,9419,3
860,9415,4
861,9424,7
862,9423,6
863,9417,6
863,9423,1
864,9419,6
865,9415,9
866,9417,2
866,9419,2
867,9415,4
868,9415,7
869,9424,19
870,9417,7
871,9424,3
872,9423,7
873,9423,5
874,9419,12
874,9423,1
875,9421,4
876,9423,3
877,9419,12
877,9423,1
878,9415,9
879,9415,12
880,9415,9
881,9417,1
881,9423,9
882,9424,6
883,9423,4
884,9417,5
885,9423,7
886,9419,7
887,9423,5
888,9417,5
889,9424,13
890,9417,4
891,9417,2
891,9423,3
892,9423,27
893,9415,9
894,9415,11
895,9415,1
895,9419,4
895,9421,2
896,9417,4
897,9423,6
898,9415,3
899,9417,2
899,9420,152
900,9420,41
901,9415,13
902,9424,6
903,9415,8
904,9417,5
905,9415,5
905,9419,1
906,9415,3
907,9415,4
908,9415,3
909,9415,1
909,9419,10
910,9415,5
911,9419,7
912,9419,6
913,9415,4
914,9417,44
915,9417,5
916,9419,35
917,9423,3
918,9415,8
919,9423,3
920,9417,4
921,9423,3
922,9423,8
923,9417,2
923,9423,1
923,9424,1
924,9416,3
925,9415,3
926,9423,32
926,9424,9
927,9417,3
928,9415,8
929,9419,3
930,9424,3
931,9423,110
932,9415,4
933,9419,7
934,9423,6
935,9415,8
936,9415,6
937,9417,3
938,9416,1
938,9417,2
939,9415,4
940,9419,17
941,9424,5
942,9423,4
943,9415,7
944,9423,3
945,9417,3
945,9423,3
946,9419,5
947,9417,7
948,9423,4
949,9415,3
950,9415,5
951,9419,3
952,9423,3
952,9424,1
953,9417,3
954,9423,3
955,9417,1
955,9423,4
956,9419,17
957,9419,5
958,9415,3
959,9419,4
960,9417,5
961,9419,3
962,9419,11
963,9419,12
964,9422,1
964,9423,8
965,9417,12
966,9417,5
967,9423,3
968,9423,1
968,9424,3
969,9423,11
970,9419,5
971,9423,4
972,9422,3
973,9419,7
973,9423,3
974,9415,3
975,9423,3
976,9423,3
977,9423,4
978,9417,4
979,9423,3
980,9424,11
981,9419,3
982,9415,3
983,9424,12
984,9415,14
985,9423,3
985,9424,3
986,9415,1
986,9417,2
987,9415,5
988,9424,15
989,9419,12
990,9424,4
991,9423,2
991,9424,10
992,9415,16
993,9423,4
994,9417,4
995,9415,1
995,9419,31
996,9424,12
997,9419,9
998,9423,8
999,9422,4
1000,9422,3
1001,9417,4
1002,9417,2
1002,9423,4
1003,9423,4
1004,9419,3
1005,9419,68
1005,9423,1
1006,9415,19
1007,9423,4
1008,9420,3
1009,9420,11
1010,9423,4
1011,9415,1
1011,9419,2
1012,9424,6
1013,9415,3
1014,9423,6
1015,9419,3
1016,9419,4
1017,9417,2
1017,9422,4
1018,9419,8
1019,9419,60
1020,9423,3
1021,9416,3
1022,9423,1
1022,9424,4
1023,9417,3
1023,9424,6
1024,9415,4
1025,9419,12
1026,9419,3
1027,9421,2
1027,9424,10
1028,9419,9
1029,9419,4
1030,9415,4
1031,9419,5
1032,9419,3
1033,9422,32
1034,9422,17
