source,target,count
8983,772,11
8983,6824,4
8983,7633,1
8984,231,3
8984,245,3
8984,330,15
8984,398,4
8984,484,1
8984,869,5
8984,1473,4
8984,1522,25
8984,1563,5
8984,1568,2
8984,1655,4
8984,1906,1
8984,2080,1
8984,2142,2
8984,2147,1
8984,2150,5
8984,2171,1
8984,2268,1
8984,2274,2
8984,2292,1
8984,2385,5
8984,2471,2
8984,2482,26
8984,2508,6
8984,3592,1
8984,3752,1
8984,3863,8
8984,3893,8
8984,3981,4
8984,3991,4
8984,4077,1
8984,4139,3
8984,4551,3
8984,4665,4
8984,4682,6
8984,4728,6
8984,4831,1
8984,4835,1
8984,4844,1
8984,4885,2
8984,5086,3
8984,5305,53
8984,5339,1
8984,5544,3
8984,5545,1
8984,5692,3
8984,5985,3
8984,6176,1
8984,6387,3
8984,6731,7
8984,7043,5
8984,7168,1
8984,7230,2
8984,8076,1
8984,8085,5
8984,8140,2
8984,8250,7
8984,8326,4
8984,8399,22
8984,8400,1
8984,8425,1
8984,8505,4
8985,4362,4
8986,671,1
8986,2756,9
8986,3728,1
8986,4079,31
8986,4354,1
8986,5743,4
8986,8557,2
8987,113,7
8987,166,3
8987,230,2
8987,250,3
8987,261,1
8987,267,6
8987,276,3
8987,296,3
8987,311,6
8987,331,1
8987,337,16
8987,338,2
8987,381,13
8987,395,1
8987,431,3
8987,440,2
8987,445,6
8987,489,3
8987,557,3
8987,613,6
8987,621,3
8987,635,3
8987,667,1
8987,676,1
8987,680,5
8987,682,2
8987,697,4
8987,716,3
8987,760,3
8987,790,1
8987,799,2
8987,803,3
8987,864,3
8987,935,5
8987,977,5
8987,1075,8
8987,1135,31
8987,1197,2
8987,1220,2
8987,1228,3
8987,1241,4
8987,1255,18
8987,1289,1
8987,1296,1
8987,1310,1
8987,1312,3
8987,1338,10
8987,1380,6
8987,1473,3
8987,1497,7
8987,1519,5
8987,1539,4
8987,1563,1
8987,1576,12
8987,1586,4
8987,1587,11
8987,1594,23
8987,1639,1
8987,1646,6
8987,1655,27
8987,1669,2
8987,1675,1
8987,1688,3
8987,1726,19
8987,1736,181
8987,1743,4
8987,1755,9
8987,1844,5
8987,1859,21
8987,1860,9
8987,1861,2
8987,1884,3
8987,1885,2
8987,1893,2
8987,1911,4
8987,1924,1
8987,1963,8
8987,1975,7
8987,1990,4
8987,2002,17
8987,2011,2
8987,2012,1
8987,2017,28
8987,2038,3
8987,2080,4
8987,2096,6
8987,2100,4
8987,2103,18
8987,2114,20
8987,2142,11
8987,2147,1
8987,2150,3
8987,2155,19
8987,2163,1
8987,2187,9
8987,2193,3
8987,2196,20
8987,2199,9
8987,2243,8
8987,2251,74
8987,2252,2
8987,2257,5
8987,2274,5
8987,2292,4
8987,2298,5
8987,2312,37
8987,2313,14
8987,2316,1
8987,2330,3
8987,2335,2
8987,2363,55
8987,2392,12
