source,target,count
9061,772,11
9061,6824,4
9061,7633,1
9062,231,3
9062,245,3
9062,330,15
9062,398,4
9062,484,1
9062,869,5
9062,1473,4
9062,1522,25
9062,1563,5
9062,1568,2
9062,1621,2
9062,1655,4
9062,1906,1
9062,1944,19
9062,2080,1
9062,2142,2
9062,2147,1
9062,2150,5
9062,2171,1
9062,2268,1
9062,2274,2
9062,2292,1
9062,2385,5
9062,2471,2
9062,2482,26
9062,2508,6
9062,2603,1
9062,3592,1
9062,3752,1
9062,3863,8
9062,3893,8
9062,3981,4
9062,3991,4
9062,4077,1
9062,4139,3
9062,4551,3
9062,4682,6
9062,4728,6
9062,4831,1
9062,4835,1
9062,4844,1
9062,4885,2
9062,5086,3
9062,5213,1
9062,5305,53
9062,5339,4
9062,5544,3
9062,5545,1
9062,5692,3
9062,5985,3
9062,6176,1
9062,6387,3
9062,6731,7
9062,7043,5
9062,7168,1
9062,7230,2
9062,8076,1
9062,8085,5
9062,8140,2
9062,8250,7
9062,8326,4
9062,8351,1
9062,8399,22
9062,8400,1
9062,8425,1
9062,8505,4
9063,4362,4
9064,595,1
9064,8009,1
9065,671,1
9065,2756,9
9065,3728,1
9065,4079,31
9065,4354,1
9065,5743,4
9065,8557,2
9066,141,1
9066,741,1
9066,1675,1
9066,1761,1
9066,2812,1
9066,2878,1
9066,3196,1
9066,3664,1
9066,7587,1
9067,103,1
9067,113,7
9067,166,3
9067,176,1
9067,230,2
9067,250,3
9067,261,1
9067,267,6
9067,276,3
9067,296,3
9067,311,6
9067,331,1
9067,337,16
9067,338,2
9067,381,13
9067,395,1
9067,431,3
9067,440,2
9067,445,6
9067,489,3
9067,557,3
9067,613,6
9067,621,3
9067,628,2
9067,635,3
9067,638,1
9067,667,1
9067,676,1
9067,680,5
9067,682,3
9067,683,1
9067,697,4
9067,716,3
9067,760,3
9067,790,1
9067,799,2
9067,803,3
9067,860,1
9067,864,3
9067,935,5
9067,977,2
9067,1016,1
9067,1075,8
9067,1135,31
9067,1197,2
9067,1220,2
9067,1228,3
9067,1241,4
9067,1255,18
9067,1289,1
9067,1296,1
9067,1310,1
9067,1312,3
9067,1338,13
9067,1378,1
9067,1380,6
9067,1404,1
9067,1427,1
9067,1473,3
9067,1476,1
9067,1497,7
9067,1519,5
9067,1539,4
9067,1563,1
9067,1576,12
9067,1586,4
9067,1587,11
9067,1594,23
9067,1639,1
9067,1646,6
9067,1655,29
9067,1665,1
9067,1666,1
9067,1669,2
9067,1675,6
9067,1688,3
9067,1726,19
9067,1736,144
9067,1743,4
9067,1755,9
9067,1789,1
9067,1844,5
9067,1859,21
9067,1860,9
9067,1861,2
9067,1878,1
9067,1884,3
9067,1885,2
9067,1893,3
9067,1911,4
9067,1924,1
9067,1945,1
9067,1963,8
9067,1975,7
9067,1990,5
9067,1996,1
9067,2002,17
9067,2007,3
9067,2011,2
9067,2012,1
9067,2017,28
9067,2038,1
9067,2043,1
9067,2080,4
9067,2095,1
9067,2096,6
9067,2100,4
9067,2103,18
9067,2114,20
9067,2117,1
9067,2142,11
9067,2147,1
9067,2155,20
9067,2163,1
9067,2166,2
9067,2183,2
9067,2187,9
9067,2193,3
9067,2196,20
9067,2199,9
9067,2219,1
9067,2235,1
9067,2243,8
9067,2251,73
9067,2252,2
9067,2253,2
9067,2257,5
9067,2274,5
9067,2275,1
9067,2292,4
9067,2298,5
9067,2312,37
9067,2313,16
9067,2316,1
9067,2330,6
9067,2331,1
9067,2335,2
9067,2363,55
9067,2392,12
9067,2395,3
9067,2402,2
9067,2412,10
9067,2414,1
9067,2416,1
9067,2423,2
9067,2443,45
9067,2453,8
9067,2461,1
9067,2468,1
9067,2482,81
9067,2505,3
9067,2508,1
9067,2528,1
9067,2550,1
9067,2559,3
9067,2575,2
9067,2583,3
9067,2592,4
9067,2613,9
9067,2615,1
9067,2622,13
9067,2648,5
9067,2650,2
9067,2652,6
9067,2662,32
9067,2694,1
9067,2723,1
9067,2731,1
9067,2759,65
9067,2794,4
9067,2851,31
9067,2856,1
9067,2875,3
