source,target,count
19452,9182,4
19453,1070,1
19453,2622,3
19453,5729,3
19454,3318,5
19455,5912,4
19456,4172,3
19457,3163,6
19457,6687,3
19458,3183,5
19459,5588,8
19460,6651,4
19461,2353,1
19461,5565,8
19462,5870,1
19463,5200,2
19463,8326,1
19464,6300,14
19465,1299,8
19466,9153,6
19467,1347,6
19468,1149,1
19468,1747,4
19468,6978,2
19469,4182,1
19469,7948,4
19470,2666,4
19471,2793,5
19471,4858,5
19472,6089,4
19473,2622,4
19474,2417,6
19474,5158,3
19475,903,6
19475,1763,8
19475,1767,5
19475,2291,17
19475,2417,15
19475,3553,38
19475,3703,1
19475,3751,11
19475,4184,2
19475,4868,7
19475,6813,3
19476,1708,3
19477,1667,3
19477,3345,5
19477,6447,4
19478,3104,7
19479,1850,2
19479,3044,1
19479,5892,1
19479,6136,7
19479,7473,334
19480,995,14
19480,1385,33
19480,3724,2
19481,910,5
19482,7083,8
19483,5880,3
19483,8807,4
19484,4656,7
19485,2393,4
19486,3971,1
19486,4505,2
19487,4622,3
19488,8902,3
19489,2173,8
19490,2290,8
19490,6174,1
19491,3957,17
19492,6416,2
19492,9043,3
19493,6133,3
19494,3345,11
19494,4440,1
19494,4474,5
19494,5592,1
19494,8193,2
19494,8337,6
19494,8938,14
19495,2622,5
19496,3232,9
19496,6442,4
19496,7517,1
19497,1189,5
19498,946,3
19498,2158,2
19498,2313,1
19498,2508,2
19498,3089,4
19498,7966,3
19498,8902,3
19499,6838,2
19500,1278,2
19501,3967,3
19502,3629,8
19503,7690,3
19504,1177,2
19504,1514,1
19504,3786,3
19504,6958,3
19505,3887,3
19506,8303,5
19507,2158,5
19508,6686,5
19508,7595,22
19509,1117,5
19510,3226,3
19511,949,3
19512,5539,7
19513,2484,6
19514,3614,6
19515,5446,7
19515,7143,1
19515,8174,1
19516,5558,89
19516,6431,2
19516,6941,4
19516,7185,13
19516,7190,126
19516,8979,11
19517,6010,3
19518,2375,4
19519,1827,2
19519,2003,11
19519,6866,2
19519,7788,1
19519,8188,1
