source,target,count
10101,9415,4
10102,9421,7
10103,9419,5
10104,9417,4
10105,9423,3
10106,9417,9
10107,9422,2
10107,9424,3
10108,9417,8
10109,9417,4
10110,9417,1
10110,9419,8
10111,9423,1
10112,9417,3
10113,9415,14
10114,9419,8
10115,9423,6
10116,9423,6
10117,9419,7
10118,9415,5
10119,9423,4
10120,9415,10
10121,9423,4
10122,9419,4
10123,9415,9
10124,9415,113
10125,9417,3
10126,9423,12
10127,9415,7
10128,9419,345
10129,9419,48
10129,9423,1
10130,9415,5
10131,9415,8
10132,9419,6
10132,9424,1
10133,9423,7
10134,9415,4
10135,9423,3
10136,9417,3
10137,9419,3
10138,9419,8
10139,9419,9
10140,9415,17
10141,9419,5
10142,9415,3
10143,9416,1
10143,9417,39
10144,9419,5
10145,9419,14
10146,9423,5
10147,9419,18
10148,9424,2
10149,9424,2
10150,9415,3
10151,9419,8
10152,9415,3
10153,9424,9
10154,9419,3
10155,9424,5
10156,9419,5
10157,9423,27
10158,9417,5
10159,9417,3
10160,9415,3
10161,9417,7
10162,9415,6
10163,9423,6
10164,9417,9
10165,9415,245
10166,9417,3
10167,9423,4
10168,9419,17
10169,9423,6
10170,9423,4
10171,9417,3
10172,9417,1
10172,9419,3
10173,9417,3
10174,9423,11
10175,9423,3
10176,9424,4
10177,9417,6
10178,9419,6
10179,9424,15
10180,9424,3
10181,9417,11
10181,9424,1
10182,9424,3
10183,9415,1
10183,9423,1
10183,9424,1
10184,9417,3
10185,9417,11
10185,9424,3
10186,9419,23
10187,9424,3
10188,9417,6
10189,9417,3
10190,9417,4
10191,9419,13
10191,9423,2
10191,9424,8
10192,9424,3
10193,9424,14
10194,9415,3
10195,9419,5
10195,9423,4
10196,9415,6
10197,9415,1
10197,9417,2
10198,9421,3
10199,9419,3
10199,9421,3
10200,9415,5
10201,9423,22
10202,9415,2
10203,9423,7
10204,9415,7
10205,9415,3
10206,9424,1
10207,9415,3
10208,9415,6
10209,9419,10
10210,9423,4
10211,9424,3
10212,9415,4
10213,9423,9
10214,9417,2
10215,9419,26
10216,9417,14
10216,9423,1
10217,9419,5
10218,9419,2
10218,9423,7
10219,9419,4
10220,9417,14
