source,target,count
18100,18792,2
18101,18736,25
18101,18737,5
18101,18754,10
18101,18780,8
18102,18783,2
18103,18769,10
18103,18772,1
18104,18776,4
18105,18720,21
18105,18727,87
18105,18728,251
18105,18737,244
18105,18750,1
18105,18754,19
18105,18757,42
18105,18780,86
18105,18791,205
18106,18736,1
18106,18737,11
18106,18780,2
18107,18720,11
18107,18728,2
18107,18757,5
18108,18720,1
18108,18728,1
18108,18731,7
18108,18737,5
18108,18757,2
18109,18717,2
18109,18727,2
18109,18728,25
18109,18731,1
18109,18736,8
18109,18737,3
18109,18757,2
18109,18780,4
18109,18791,2
18110,18717,20
18110,18720,20
18110,18727,26
18110,18728,119
18110,18731,28
18110,18736,135
18110,18737,4
18110,18741,43
18110,18744,15
18110,18748,1
18110,18757,53
18110,18762,4
18110,18768,1
18110,18772,9
18110,18778,12
18110,18779,38
18110,18780,26
18110,18783,1
18110,18791,49
18110,18792,13
18111,18769,10
18111,18772,1
18111,18774,7
18111,18776,71
18112,18720,8
18112,18728,4
18112,18737,428
18112,18741,35
18112,18757,38
18112,18780,1
18112,18791,109
18113,18754,3
18114,18780,15
18115,18728,4
18115,18769,5
18115,18783,2
18116,18736,3
18117,18727,6
18117,18728,2
18117,18736,12
18117,18737,3
18117,18780,2
18117,18791,4
18117,18792,1
18118,18769,13
18118,18776,1
18118,18779,1
18119,18736,2
18119,18769,9
18119,18776,2
18119,18792,2
18120,18754,4
18120,18783,1
18121,18789,3
18122,18720,1
18122,18783,1
18123,18727,1
18123,18736,1
18124,18720,28
18124,18736,12
18124,18737,6
18124,18757,7
18124,18769,91
18124,18783,1
18125,18720,1
18125,18727,4
18125,18728,106
18125,18731,1
18125,18736,28
18125,18737,30
18125,18750,30
18125,18769,63
18125,18772,13
18125,18776,22
18125,18778,74
18125,18780,6
18125,18791,2
18125,18792,107
18126,18737,11
18126,18791,4
18127,18722,3
18128,18757,4
18128,18778,2
18128,18786,1
18128,18789,4
18129,18737,2
18130,18727,6
18130,18737,5
18130,18778,1
18130,18780,3
18130,18792,1
18131,18736,4
18132,18727,3
18132,18729,4
18132,18731,2
18132,18736,2
18132,18769,4
18132,18780,3
18132,18792,1
18133,18754,8
18134,18769,3
18134,18792,4
18135,18728,493
18135,18754,2
18135,18771,13
18135,18791,9
18136,18757,2
18137,18727,1
18137,18736,2
18138,18717,58
18138,18720,212
18138,18727,423
18138,18728,677
18138,18733,1
18138,18736,292
18138,18737,625
18138,18741,165
18138,18747,2
18138,18748,3
18138,18750,248
18138,18754,32
18138,18756,8
18138,18757,22
18138,18764,220
18138,18766,5
18138,18769,12
18138,18771,93
18138,18772,41
18138,18776,1
18138,18780,217
18138,18783,118
18138,18791,1074
18138,18792,37
18138,18793,142
18139,18791,2
18140,18754,2
18140,18757,6
18141,18737,2
18142,18741,21
18142,18769,1
18142,18772,1
18142,18778,60
18142,18786,10
18142,18791,8
18143,18772,1
18143,18781,223
18143,18783,51
18144,18783,18
18145,18727,9
18145,18728,3
18145,18736,2
18145,18737,16
18145,18741,23
18145,18754,3
18145,18769,582
18145,18772,220
18145,18776,197
18145,18780,1
18145,18783,7
18145,18791,14
18145,18792,156
18146,18727,4
18146,18731,1
18146,18736,3
18146,18750,3
18146,18754,1
18146,18769,8
18146,18772,3
18146,18776,8
18146,18779,1
18146,18780,1
18147,18728,18
18148,18728,4
18148,18736,31
18148,18754,3
18148,18772,4
18148,18776,2
18148,18792,1
18149,18727,73
18149,18728,23
18149,18736,54
18149,18737,111
18149,18750,2
18149,18754,9
18149,18757,70
18149,18769,5
18149,18772,1
18149,18774,3
18149,18780,21
18149,18791,2
18149,18792,6
18150,18728,3
18150,18754,6
18150,18757,81
18150,18783,2
18151,18737,5
18151,18757,5
18152,18737,2
18153,18755,32
18153,18769,1
18153,18771,15
18153,18783,1
18153,18792,6
18154,18754,1
18155,18717,1
18155,18736,4
18155,18754,11
18155,18757,1
18155,18791,8
18156,18754,7
18157,18728,22
18157,18771,3
18158,18717,5
18158,18728,4
18159,18717,51
18159,18720,122
18159,18727,490
18159,18728,641
18159,18731,4
18159,18736,354
18159,18737,807
18159,18741,12
18159,18750,137
18159,18754,66
18159,18757,75
18159,18766,1
18159,18769,15
18159,18771,17
18159,18772,95
18159,18776,6
18159,18780,244
18159,18784,9
18159,18791,3313
18159,18792,82
18160,18754,7
18161,18720,43
18161,18737,21
18161,18757,10
18161,18791,29
18162,18720,9
18162,18727,2
18162,18728,44
18162,18736,2
18162,18737,31
18162,18741,6
18162,18757,1
18162,18780,13
18162,18791,18
18163,18728,4
18163,18783,2
18164,18727,9
18164,18736,12
18164,18737,3
18164,18776,1
18164,18780,1
18164,18785,1
18165,18717,19
18165,18719,4
18165,18720,4
18165,18727,982
18165,18728,64
18165,18729,3
18165,18730,3
18165,18731,136
18165,18734,3
18165,18736,246
18165,18737,533
18165,18750,3
18165,18751,1
18165,18754,204
18165,18757,5
18165,18765,400
18165,18769,3253
18165,18772,386
18165,18774,8
18165,18776,1631
18165,18778,1476
18165,18779,7
18165,18780,120
18165,18786,98
18165,18789,14
18165,18791,185
18165,18792,2647
18165,18793,139
18166,18727,10
18166,18728,32
18166,18736,19
18166,18737,15
18166,18771,6
18166,18772,11
18166,18778,4
18166,18780,13
18166,18791,10
18166,18792,3
18167,18737,7
18168,18727,6
18168,18736,2
18168,18757,1
18169,18741,2
18169,18746,1
18169,18775,585
18170,18720,1
18170,18731,42
18170,18736,2
18170,18737,9
18170,18741,2
18170,18757,7
18170,18791,2
18171,18720,1
18171,18737,41
18172,18728,8
18173,18720,64
18173,18728,389
18173,18731,3
18173,18736,16
18173,18737,31
18173,18741,66
18173,18754,43
18173,18757,93
18173,18771,93
18173,18772,67
18173,18778,30
18173,18783,169
18173,18791,52
18173,18792,80
18174,18745,304
18174,18754,17
18175,18728,42
18175,18769,11
18175,18771,1
18175,18783,186
18175,18789,3
18176,18754,2
18176,18789,1
18177,18727,3
18177,18736,1
18177,18750,4
18177,18772,1
18177,18792,2
18178,18731,3
18178,18752,9
18178,18758,4
18178,18767,17
18178,18783,11
18179,18769,16
18179,18778,1
18179,18792,6
18180,18742,17
18180,18743,5
18180,18749,51
18180,18757,1
18181,18769,6
18181,18772,2
18181,18776,4
18181,18792,1
18182,18736,21
18182,18791,7
18183,18771,7
18184,18717,13
18184,18720,19
18184,18727,14
18184,18728,18
18184,18731,42
18184,18736,2
18184,18737,22
18184,18754,36
18184,18769,24
18184,18772,40
18184,18780,12
18184,18791,10
18184,18792,286
18185,18757,3
18185,18758,16
18185,18767,19
18185,18783,10
18186,18727,4
18186,18736,6
18186,18769,1
18186,18776,2
18187,18717,4
18187,18728,3
18187,18748,53
18188,18728,3
18188,18792,1
18189,18720,1
18189,18737,5
18189,18745,1
18189,18754,6
18189,18757,1
18189,18758,1
18189,18771,3
18190,18724,1
18190,18727,140
18190,18728,2
18190,18736,209
18190,18737,204
18190,18750,1
18190,18769,6
18190,18774,1
18190,18776,2
18190,18778,51
18190,18780,71
18190,18792,1
18191,18739,54
18191,18773,18
18192,18728,3
18192,18745,4
18192,18754,30
18192,18757,25
18192,18766,13
18192,18771,5
18192,18789,24
18193,18720,1
18193,18727,4
18193,18728,122
18193,18736,5
18193,18737,8
18193,18741,40
18193,18769,44
18193,18772,4
18193,18776,22
18193,18789,4
18193,18791,14
18194,18779,9
18195,18769,11
18195,18776,1
18196,18736,7
18196,18737,2
18196,18769,3
18196,18791,5
18197,18757,2
18197,18792,1
18198,18727,2
18198,18728,1
18198,18736,1
18198,18754,1
18198,18769,234
18198,18772,8
18198,18776,1
18198,18778,5
18198,18779,7
18198,18791,4
18198,18792,38
18199,18727,8
18199,18736,6
18199,18769,16
18199,18772,5
18199,18776,12
18199,18778,58
18199,18791,2
18199,18792,29
18200,18727,8
18200,18736,6
18200,18737,16
18200,18780,21
18200,18791,16
18201,18736,1
18201,18772,3
18201,18780,3
18201,18783,18
18202,18736,10
18203,18720,9
