source,target,count
18100,19227,2
18101,19196,24
18101,19228,6
18101,19231,1
18101,19251,17
18102,19298,2
18103,19178,11
18104,19303,4
18105,19172,18
18105,19175,11
18105,19179,2
18105,19181,6
18105,19183,1
18105,19187,15
18105,19191,50
18105,19192,2
18105,19196,1
18105,19198,32
18105,19200,4
18105,19201,27
18105,19202,55
18105,19205,3
18105,19206,4
18105,19208,83
18105,19211,3
18105,19213,1
18105,19214,3
18105,19216,1
18105,19219,22
18105,19224,2
18105,19228,3
18105,19229,1
18105,19231,311
18105,19235,17
18105,19236,5
18105,19239,23
18105,19242,2
18105,19244,14
18105,19254,1
18105,19263,5
18105,19271,2
18105,19272,45
18105,19274,29
18105,19275,1
18105,19289,14
18105,19290,14
18105,19292,35
18105,19293,12
18105,19294,1
18105,19298,9
18105,19300,4
18105,19302,5
18105,19303,57
18106,19298,14
18107,19187,3
18107,19232,1
18107,19303,13
18107,19307,1
18108,19196,8
18108,19228,1
18108,19296,2
18108,19303,5
18109,19187,49
18110,19187,596
18110,19224,1
18110,19231,1
18110,19273,6
18110,19303,3
18110,19304,10
18111,19192,89
18112,19195,502
18112,19224,89
18112,19227,3
18112,19233,11
18112,19235,17
18112,19268,1
18113,19228,3
18114,19238,15
18115,19196,2
18115,19218,4
18115,19289,2
18115,19298,3
18116,19302,3
18117,19231,30
18118,19238,14
18118,19303,1
18119,19231,2
18119,19251,2
18119,19283,5
18119,19296,3
18119,19302,3
18120,19254,1
18120,19303,4
18121,19303,3
18122,19303,1
18122,19306,1
18123,19231,2
18124,19187,1
18124,19195,21
18124,19196,18
18124,19197,1
18124,19207,27
18124,19214,18
18124,19218,3
18124,19224,44
18124,19228,1
18124,19257,1
18124,19288,7
18124,19293,3
18125,19196,398
18125,19228,65
18125,19238,1
18125,19251,13
18125,19294,7
18125,19296,3
18126,19287,15
18127,19275,3
18128,19288,11
18129,19292,1
18129,19293,1
18130,19228,5
18130,19296,11
18131,19196,3
18131,19306,1
18132,19238,1
18132,19296,3
18132,19307,15
18133,19303,8
18134,19190,7
18135,19187,6
18135,19204,5
18135,19214,3
18135,19218,36
18135,19229,1
18135,19231,6
18135,19232,3
18135,19254,368
18135,19257,2
18135,19271,13
18135,19275,2
18135,19289,7
18135,19292,8
18135,19293,19
18135,19302,29
18135,19303,9
18136,19306,2
18137,19236,3
18138,19179,309
18138,19183,264
18138,19189,5
18138,19191,1
18138,19192,33
18138,19201,45
18138,19204,18
18138,19205,17
18138,19208,1
18138,19210,20
18138,19213,133
18138,19214,783
18138,19218,1469
18138,19219,9
18138,19220,4
18138,19231,12
18138,19232,4
18138,19234,6
18138,19236,12
18138,19238,1
18138,19242,56
18138,19245,31
18138,19246,316
18138,19251,1
18138,19252,1
18138,19253,18
18138,19257,289
18138,19263,4
18138,19270,5
18138,19271,49
18138,19272,56
18138,19274,7
18138,19275,247
18138,19276,2
18138,19283,1
18138,19285,14
18138,19286,1
18138,19287,1
18138,19289,5
18138,19292,60
18138,19293,165
18138,19294,1
18138,19296,13
18138,19298,8
18138,19300,28
18138,19301,6
18138,19302,39
18138,19303,158
18139,19186,2
18140,19261,8
18141,19235,2
18142,19178,11
18142,19212,4
18142,19251,1
18142,19260,81
18142,19303,4
18143,19200,275
18144,19192,11
18144,19303,7
18145,19175,2
18145,19179,4
18145,19183,2
18145,19186,9
18145,19187,103
18145,19192,10
18145,19195,315
18145,19196,12
18145,19197,7
18145,19200,12
18145,19201,1
18145,19204,24
18145,19207,75
18145,19208,1
18145,19209,3
18145,19213,6
18145,19214,36
18145,19218,146
18145,19219,7
18145,19220,4
18145,19224,167
18145,19227,4
18145,19228,4
18145,19235,1
18145,19236,3
18145,19242,16
18145,19245,3
18145,19246,24
18145,19250,3
18145,19255,1
18145,19257,4
18145,19261,5
18145,19262,1
18145,19266,37
18145,19268,6
18145,19269,7
18145,19270,16
18145,19271,18
18145,19272,4
18145,19275,62
18145,19285,12
18145,19287,1
18145,19289,1
18145,19292,1
18145,19293,14
18145,19294,4
18145,19297,1
18145,19298,7
18145,19300,2
18145,19302,5
18145,19303,15
18145,19304,5
18146,19196,12
18146,19296,21
18147,19187,18
18148,19187,45
18149,19187,3
18149,19206,3
18149,19214,86
18149,19218,1
18149,19257,1
18149,19289,283
18149,19293,1
18149,19298,1
18149,19303,1
18150,19197,92
18151,19303,10
18152,19288,2
18153,19232,55
18154,19303,1
18155,19246,1
18155,19289,24
18156,19303,7
18157,19218,25
18158,19179,3
18158,19205,1
18158,19218,3
18158,19292,2
18159,19174,5
18159,19178,8
18159,19179,608
18159,19181,2
18159,19182,2
18159,19183,35
18159,19187,4
18159,19191,1
18159,19192,3
18159,19196,12
18159,19197,5
18159,19201,2
18159,19204,611
18159,19205,34
18159,19206,3
18159,19207,6
18159,19210,5
18159,19213,151
18159,19214,103
18159,19218,3178
18159,19219,1
18159,19228,5
18159,19229,191
18159,19232,7
18159,19234,3
18159,19236,77
18159,19238,3
18159,19242,44
18159,19245,10
18159,19246,55
18159,19248,16
18159,19250,6
18159,19255,3
18159,19257,23
18159,19263,32
18159,19264,3
18159,19270,6
18159,19271,198
18159,19272,2
18159,19274,128
18159,19275,120
18159,19283,1
18159,19285,381
18159,19286,30
18159,19289,12
18159,19292,120
18159,19293,75
18159,19294,2
18159,19301,1
18159,19302,31
18159,19303,168
18159,19305,5
18159,19310,4
18160,19303,7
18161,19195,80
18161,19197,3
18161,19207,17
18161,19209,3
18162,19175,76
18162,19187,20
18162,19231,9
18162,19263,10
18162,19269,5
18162,19293,6
18163,19258,4
18163,19303,2
18164,19196,1
18164,19208,1
18164,19298,25
18165,19175,7
18165,19178,12
18165,19181,35
18165,19183,4
18165,19187,5
18165,19190,3
18165,19192,13
18165,19196,4059
18165,19204,7
18165,19218,51
18165,19219,1
18165,19225,1
18165,19228,244
18165,19231,67
18165,19232,254
18165,19233,1
18165,19236,8
18165,19238,679
18165,19245,23
18165,19247,2
18165,19251,62
18165,19263,2
18165,19264,20
18165,19266,1
18165,19270,48
18165,19271,16
18165,19275,12
18165,19282,3
18165,19283,9
18165,19288,6618
18165,19290,15
18165,19293,2
18165,19294,125
18165,19296,19
18165,19300,1
18165,19301,4
18165,19302,4
18165,19303,33
18165,19307,90
18165,19308,14
18166,19208,4
18166,19231,67
18166,19236,26
18166,19264,1
18166,19272,1
18166,19274,13
18166,19275,1
18166,19298,8
18166,19300,2
18167,19231,7
18168,19231,9
18169,19200,585
18169,19207,3
18170,19192,3
18170,19195,42
18170,19269,13
18170,19270,3
18170,19303,4
18171,19287,40
18171,19302,2
18172,19306,8
18173,19175,11
18173,19178,5
18173,19183,2
18173,19187,342
18173,19195,365
18173,19196,134
18173,19197,121
18173,19200,9
18173,19207,20
18173,19209,6
18173,19214,18
18173,19218,3
18173,19224,18
18173,19227,1
18173,19228,5
18173,19232,1
18173,19236,1
18173,19237,2
18173,19246,1
18173,19254,11
18173,19257,15
18173,19260,11
18173,19263,8
18173,19268,2
18173,19269,9
18173,19270,3
18173,19271,1
18173,19273,4
18173,19275,2
18173,19283,3
18173,19289,9
18173,19292,3
18173,19293,16
18173,19294,1
18173,19302,1
18173,19303,9
18173,19304,21
18173,19306,2
18174,19303,321
18175,19179,2
18175,19183,3
18175,19187,6
18175,19192,11
18175,19195,3
18175,19196,3
18175,19200,3
18175,19206,9
18175,19213,13
18175,19214,1
18175,19218,43
18175,19224,3
18175,19231,24
18175,19246,24
18175,19254,2
18175,19271,7
18175,19272,8
18175,19275,9
18175,19285,1
18175,19289,41
18175,19292,1
18175,19293,1
18175,19298,2
18175,19303,22
18175,19306,1
18176,19303,3
18177,19270,11
18178,19270,2
18178,19309,42
18179,19196,9
18179,19228,9
18179,19294,5
18180,19192,67
18180,19303,7
18181,19196,13
18182,19231,28
18183,19303,7
18184,19181,7
18184,19190,2
18184,19196,256
18184,19228,109
18184,19231,54
18184,19232,21
18184,19238,1
18184,19251,10
18184,19254,11
18184,19257,4
18184,19263,4
18184,19270,1
18184,19279,1
18184,19283,2
18184,19294,26
18184,19296,9
18184,19301,5
18184,19303,4
18184,19307,11
18185,19297,1
18185,19309,47
18186,19236,13
18187,19254,47
18187,19269,10
18187,19306,3
18188,19231,4
18189,19180,1
18189,19303,17
18190,19181,14
18190,19206,5
18190,19228,1
18190,19231,371
18190,19238,2
18190,19264,2
18190,19290,278
18190,19296,13
18190,19302,3
18191,19192,72
18192,19236,6
18192,19303,98
18193,19187,85
18193,19192,2
18193,19195,57
18193,19196,44
18193,19207,18
18193,19209,1
18193,19214,4
18193,19218,8
18193,19224,27
18193,19245,2
18193,19246,1
18193,19260,2
18193,19268,1
18193,19272,3
18193,19275,1
18193,19289,7
18193,19298,3
18193,19304,2
18194,19192,9
18195,19196,10
18195,19228,2
18196,19307,17
18197,19288,3
18198,19196,271
18198,19228,24
18198,19294,7
18199,19196,115
18199,19228,19
18199,19294,2
18200,19208,29
18200,19231,14
18200,19253,3
18200,19293,16
18200,19298,5
18201,19232,7
18201,19303,18
18202,19214,1
18202,19275,9
18203,19276,6
18203,19287,57
18203,19302,1
18204,19303,161
18205,19303,16
18206,19303,26
18207,19196,1
18207,19214,2
18207,19220,2
18207,19293,70
18207,19302,17
18207,19303,2
18208,19246,10
18209,19214,96
18209,19257,14
18210,19175,6
18210,19178,12
18210,19179,11
18210,19180,14
18210,19181,1
18210,19183,6
