source,target,count
8675,16806,2
8676,10275,2
8676,10283,3
8676,10386,7
8676,10428,1
8676,10548,6
8676,10605,1
8676,11484,1
8676,12009,1
8676,13889,9
8676,14108,1
8676,14203,1
8676,14509,2
8676,14661,1
8676,14873,4
8676,14959,1
8676,15019,2
8676,17049,1
8676,17052,1
8676,19042,1
8676,19145,2
8677,18238,2
8678,10356,1
8678,12807,10
8679,12319,1
8679,17504,3
8680,9407,2
8680,10098,4
8680,10250,34
8680,10251,5
8680,10256,2
8680,10258,9
8680,10366,2
8680,10381,1
8680,10453,3
8680,10496,1
8680,10595,1
8680,10641,1
8680,10893,1
8680,10944,21
8680,11033,1
8680,11081,2
8680,11094,2
8680,11095,1
8680,11120,2
8680,11307,6
8680,11426,3
8680,11454,18
8680,11475,7
8680,11511,1
8680,11597,1
8680,11628,3
8680,11646,1
8680,11715,8
8680,11841,1
8680,12367,3
8680,12625,1
8680,12822,2
8680,12830,1
8680,12911,1
8680,13362,3
8680,13451,1
8680,13507,62
8680,13637,7
8680,13669,2
8680,13838,2
8680,13867,4
8680,13882,7
8680,13999,6
8680,14284,1
8680,14294,1
8680,14311,4
8680,14325,11
8680,14333,9
8680,14359,1
8680,14451,2
8680,14479,5
8680,14660,1
8680,14830,10
8680,14930,1
8680,14993,4
8680,15011,6
8680,15258,6
8680,15359,3
8680,15555,9
8680,15702,4
8680,15733,1
8680,15823,2
8680,15981,4
8680,15983,32
8680,15987,5
8680,16064,9
8680,16120,2
8680,16344,2
8680,16492,17
8680,16511,4
8680,16605,2
8680,16617,4
8680,16644,2
8680,16645,2
8680,16754,1
8680,16769,1
8680,16792,1
8680,16816,3
8680,16859,1
8680,17036,4
8680,17043,37
8680,17049,1
8680,17064,3
8680,17102,55
8680,17112,1
8680,17397,2
8680,17415,4
8680,17416,2
8680,17420,1
8680,17502,4
8680,17538,1
8680,17551,20
8680,17634,2
8680,17725,1
8680,17726,4
8680,17727,19
8680,17866,4
8680,17929,2
8680,18070,2
8680,18186,1
8680,18187,275
8680,18291,2
8680,18323,13
8680,18382,5
8680,18388,2
8680,18401,1
8680,18414,2
8680,18415,14
8680,18495,4
8680,18576,34
8680,18590,2
8680,18608,2
8680,18856,1
8680,18881,5
8680,18995,2
8680,19066,1
8680,19223,2
8681,10619,3
8681,12744,1
8681,13558,1
8681,14030,2
8681,16350,3
8681,17848,4
8682,10509,1
8682,11615,1
8682,12284,3
8682,12333,10
8682,14540,2
8682,18882,1
8683,11192,4
8683,11867,1
8683,12591,1
8683,13785,1
8683,16527,2
8683,17475,2
8683,17504,5
8684,11615,5
8684,11916,1
8684,12618,1
8684,13921,1
8684,14075,1
8684,14540,2
8684,14629,25
8684,16831,2
8684,18010,3
8684,18210,1
8684,18405,3
8684,18667,1
8684,19295,3
8685,9545,7
8685,9547,37
8685,9610,1
8685,9617,1
8685,9625,5
8685,9710,2
8685,9954,1
8685,9974,1
8685,9983,2
8685,10448,1
8685,10762,3
8685,10976,17
8685,10997,2
8685,11452,4
8685,11912,8
8685,11917,5
8685,11971,6
8685,12454,1
8685,12596,2
8685,13806,6
8685,13832,111
8685,13834,1
8685,14049,1
8685,14107,4
8685,14481,2
8685,14629,17
8685,14840,1
8685,14901,10
8685,15028,15
8685,15351,2
8685,16013,1
8685,16048,1
8685,16192,6
8685,16202,3
8685,16204,22
8685,16218,1
8685,16330,67
8685,16428,8
8685,16646,1
8685,16696,8
8685,16785,10
8685,16814,6
8685,17123,5
8685,17615,4
8685,17650,1
8685,17740,14
8685,17898,1
8685,17948,4
8685,18010,10
8685,18140,6
8685,18212,1
8685,18289,11
8685,18694,3
8685,18721,58
8685,18832,2
8685,18846,5
8685,18985,19
8685,19015,23
8685,19021,37
8685,19142,3
8686,11170,1
8686,13339,25
8686,13359,38
8686,14950,4
8686,16411,17
8686,16519,4
8687,9378,153
8687,9379,2
8687,10119,83
8687,11527,1
8687,13402,112
8687,13403,68
8687,14278,17
8687,14867,1
8687,14949,10
8687,15885,1
8687,16708,59
8687,16709,2
8687,17050,11
8687,17063,3
8687,17870,6
8687,18107,89
8687,18521,5
8688,17196,3
8689,12912,15
8690,10453,1
8690,12031,2
8690,14993,2
8690,17397,2
8690,17630,4
8691,16327,3
8692,11643,1
8692,12841,1
8692,13171,1
8692,13309,1
8692,13654,1
8692,14515,2
8692,14986,3
8692,16466,1
8692,17443,4
8692,17512,4
8692,17730,1
8692,18179,5
8692,18234,2
8692,18347,1
8692,19069,2
8693,14442,14
8693,18439,1
8694,10030,2
8694,11284,3
8694,14086,2
8694,14619,1
8694,17840,2
8694,17860,5
8695,10003,4
8695,11414,1
8696,12319,3
8697,12333,1
8697,13379,1
8698,17512,2
8699,9425,1
8699,9604,1
8699,10465,1
8699,10483,1
8699,10690,7
8699,10769,4
8699,11232,1
8699,11595,4
8699,11983,1
8699,12145,1
8699,12820,2
8699,13258,1
8699,13329,1
8699,13403,1
8699,14110,1
8699,14144,15
8699,14402,2
8699,14533,3
8699,15000,14
8699,15058,1
8699,15369,2
8699,15462,4
8699,16034,3
8699,16119,6
8699,16579,12
8699,16709,3
8699,16710,1
8699,16835,1
8699,16906,1
8699,16933,1
8699,16956,8
8699,17431,2
8699,17735,1
8699,18037,1
8699,18107,29
8699,18619,3
8699,19060,4
8700,9517,2
8700,9614,2
8700,9982,4
8700,10108,1
8700,10131,1
8700,10158,2
8700,10314,1
8700,10329,7
8700,10331,4
8700,10386,1
8700,10487,7
8700,10529,1
8700,10550,2
8700,10588,1
8700,10830,1
8700,10832,1
8700,10966,4
8700,11209,1
8700,11221,1
8700,11246,17
8700,11301,5
8700,11368,4
8700,11421,8
8700,11483,7
8700,11486,4
8700,11553,1
8700,11611,1
8700,11652,3
8700,11679,3
8700,11858,14
8700,11898,11
8700,11915,2
8700,11926,4
8700,11944,1
8700,11999,2
8700,12009,3
8700,12074,2
8700,12116,3
8700,12130,1
8700,12293,1
8700,12318,3
8700,12398,4
8700,12406,3
8700,12413,1
8700,12504,1
8700,12547,23
8700,12713,6
8700,12860,12
8700,12941,1
8700,13039,5
8700,13154,13
8700,13803,5
8700,13841,1
8700,13870,6
8700,13899,2
8700,13925,1
8700,13942,1
8700,13965,1
8700,13990,1
8700,14027,10
8700,14057,2
8700,14061,2
8700,14087,10
8700,14108,8
8700,14132,1
8700,14140,9
8700,14230,1
8700,14236,1
8700,14453,3
8700,14825,4
8700,14992,1
8700,15032,3
8700,15038,1
8700,15063,1
8700,15122,3
8700,15211,1
8700,15213,1
8700,15218,3
8700,15267,13
8700,15311,3
8700,15348,1
8700,15424,1
8700,15430,6
8700,15464,2
8700,15482,3
8700,15485,3
8700,15557,1
8700,15587,2
8700,15750,1
8700,15766,8
8700,15793,4
8700,16176,1
8700,16182,7
8700,16255,1
8700,16309,3
8700,16427,1
8700,16486,3
8700,16615,3
8700,16757,1
8700,17252,3
8700,17271,1
8700,17334,1
8700,17373,3
8700,17381,3
8700,17524,1
8700,17670,1
8700,17733,1
8700,17784,1
8700,17883,3
8700,17886,1
8700,17913,3
8700,17961,50
8700,18052,7
8700,18261,4
8700,18318,4
8700,18955,2
8700,19029,3
8700,19061,1
8700,19064,3
8700,19087,6
8700,19153,2
8700,19155,2
8700,19177,1
8700,19196,15
8700,19208,1
8701,11211,4
8701,16313,11
8702,16340,3
8703,10946,2
8703,17557,9
8704,13499,1
8704,18687,1
8705,10376,3
8705,11648,4
8705,13257,1
8705,13876,5
8705,14619,2
8705,18203,1
8706,15341,1
8706,16846,1
8706,19084,2
8707,10044,2
8707,10587,3
8707,10991,2
8707,11723,4
8707,14658,1
8707,15101,1
8707,16721,2
8707,17621,1
8707,17840,3
8708,18503,8
8709,10074,3
8709,14558,1
8709,17386,3
8710,9454,1
8710,9619,1
8710,9643,24
8710,9856,4
8710,9964,3
8710,10080,1
8710,10113,2
8710,10167,3
8710,10171,10
8710,10205,2
8710,10448,1
8710,10465,4
8710,10690,3
8710,10874,10
8710,11208,6
8710,11793,4
8710,12046,1
8710,12101,2
8710,12658,1
8710,13109,5
8710,13327,26
8710,13331,9
8710,13363,5
8710,13367,3
8710,13377,2
8710,13398,12
8710,13411,12
8710,13417,4
8710,13418,13
8710,13419,3
8710,13421,2
8710,13423,1
8710,13447,1
8710,13462,7
8710,13470,6
8710,13516,3
8710,13520,6
8710,13617,40
8710,13781,1
8710,14008,1
8710,14082,1
8710,14332,9
8710,14402,1
8710,14488,1
8710,14495,2
8710,14565,5
8710,14646,3
8710,14660,1
8710,14821,9
8710,14850,88
8710,14984,6
8710,15527,12
8710,15539,6
8710,15594,4
8710,15596,3
8710,15603,2
8710,15718,2
8710,15759,7
8710,15837,15
8710,15854,3
8710,16024,5
8710,16110,1
8710,16301,3
8710,16564,4
8710,16621,3
8710,16868,1
8710,17057,2
8710,17574,12
8710,17626,3
8710,17650,6
8710,17703,2
8710,17871,12
8710,17944,1
8710,18077,1
8710,18166,1
8710,18317,2
8710,18389,7
8710,18395,3
8710,18421,3
8710,18436,14
8710,18632,2
8710,19101,1
8710,19107,3
8711,13379,2
8712,11826,2
8712,18863,1
8713,9361,1
8713,9389,8
8713,9453,1
8713,9454,3
8713,9504,1
8713,9506,7
8713,9521,8
8713,9533,2
8713,9552,3
8713,9572,1
8713,9595,1
8713,9600,12
8713,9616,4
8713,9631,3
8713,9652,11
8713,9715,1
8713,9725,1
8713,9748,1
8713,9762,7
8713,9779,5
8713,9780,1
8713,9858,2
8713,9886,6
8713,9906,1
8713,9910,2
8713,9915,3
8713,9929,1
8713,9931,2
8713,9938,4
8713,9944,2
8713,9970,3
8713,9989,7
8713,9993,14
8713,10013,3
8713,10048,1
8713,10059,1
8713,10065,3
8713,10066,6
8713,10084,20
8713,10132,18
8713,10133,1
8713,10170,3
8713,10178,3
8713,10184,1
8713,10205,2
8713,10208,7
8713,10221,2
8713,10253,1
8713,10295,2
8713,10298,5
8713,10301,1
8713,10320,1
8713,10339,2
8713,10350,28
8713,10393,1
8713,10395,4
8713,10414,4
8713,10438,1
8713,10465,3
8713,10507,1
8713,10530,30
8713,10534,3
8713,10538,2
8713,10543,4
8713,10545,5
8713,10556,2
8713,10610,3
8713,10643,16
8713,10655,1
8713,10683,3
8713,10690,170
8713,10698,3
8713,10728,7
8713,10729,1
8713,10731,1
8713,10732,8
8713,10734,2
8713,10765,6
8713,10794,5
8713,10804,2
8713,10808,4
8713,10810,2
8713,10833,7
8713,10862,1
8713,10867,3
8713,10897,2
8713,10912,1
8713,10915,32
8713,10919,1
8713,10941,52
8713,10958,4
8713,10962,6
8713,10985,4
8713,10999,2
8713,11027,1
8713,11073,13
8713,11093,1
8713,11179,36
8713,11187,3
8713,11222,7
8713,11234,13
8713,11235,3
8713,11241,1
8713,11242,11
8713,11244,6
8713,11256,4
8713,11268,4
8713,11271,19
8713,11342,1
8713,11350,3
8713,11402,5
8713,11409,32
8713,11413,5
8713,11417,171
8713,11447,4
8713,11449,6
8713,11466,1
8713,11508,3
8713,11529,1
8713,11554,5
8713,11555,7
8713,11641,1
8713,11642,6
8713,11678,3
8713,11715,22
8713,11734,18
8713,11792,3
8713,11793,10
8713,11817,2
8713,11849,37
8713,12022,2
8713,12046,106
8713,12297,1
8713,12306,63
8713,12324,3
8713,12356,12
8713,12365,3
8713,12383,3
8713,12768,1
8713,12780,7
8713,12809,5
8713,12820,1
8713,12826,1
8713,12852,2
8713,12872,1
8713,12875,17
8713,12896,4
8713,12925,12
8713,12927,8
8713,12950,4
8713,12958,1
8713,13003,2
8713,13009,3
8713,13015,14
8713,13017,12
8713,13023,7
8713,13025,1
8713,13061,2
8713,13063,2
8713,13112,9
8713,13117,23
8713,13131,2
8713,13163,5
8713,13182,1
8713,13184,1
8713,13187,38
8713,13192,1
8713,13194,2
8713,13207,1
8713,13219,9
8713,13232,1
8713,13246,1
8713,13251,3
8713,13266,3
8713,13275,1
8713,13299,16
8713,13313,11
8713,13325,1
8713,13343,7
8713,13349,2
8713,13378,15
8713,13387,2
8713,13394,2
8713,13408,4
8713,13425,43
8713,13429,54
8713,13456,13
8713,13519,1
8713,13523,4
8713,13531,10
8713,13538,3
8713,13563,11
8713,13578,6
8713,13584,1
8713,13589,1
8713,13594,7
8713,13596,1
8713,13622,5
8713,13629,4
8713,13644,46
8713,13682,2
8713,13689,2
8713,13699,2
8713,13731,2
8713,13739,183
8713,13756,17
8713,13760,5
8713,13764,4
8713,13768,1
8713,13772,10
8713,13797,2
8713,13799,93
8713,13826,3
8713,13883,15
8713,13885,1
8713,13897,8
8713,13900,8
8713,13927,1
8713,13983,3
8713,14008,9
8713,14015,4
8713,14023,60
8713,14062,1
8713,14255,7
8713,14276,4
8713,14289,1
8713,14318,50
8713,14335,6
8713,14341,5
8713,14364,1
8713,14369,5
8713,14370,1
8713,14377,1
8713,14384,1
8713,14407,1
8713,14413,1
8713,14435,3
8713,14455,32
8713,14507,8
8713,14508,1
8713,14523,4
8713,14534,3
8713,14623,8
8713,14647,7
8713,14653,4
8713,14684,3
8713,14685,1
8713,14735,1
8713,14752,5
8713,14764,7
8713,14776,3
8713,14821,3
8713,14846,11
8713,14896,3
8713,14903,17
8713,14904,2
8713,14906,8
8713,14909,6
8713,14913,2
8713,14930,2
8713,14942,3
