source,target,count
9061,8983,16
9062,8984,308
9062,8994,2
9062,9003,1
9062,9005,1
9062,9036,4
9062,9058,19
9063,8985,4
9064,9036,1
9064,9059,1
9065,8986,49
9066,8995,1
9066,9036,5
9066,9059,3
9067,8987,3895
9067,8994,4
9067,9003,131
9067,9004,27
9067,9008,1
9067,9036,3
9067,9047,59
9067,9059,6
9068,9045,13
9069,8995,1
9069,9036,4
9069,9059,12
9070,9003,20
9070,9004,172
9070,9008,95
9070,9045,3
9071,9036,30
9071,9059,26
9072,8988,3
9073,9036,33
9073,9043,5
9073,9045,61
9073,9059,9
9074,8989,4
9075,8990,4
9075,8994,11
9075,8995,55
9075,9003,9
9075,9004,9
9075,9036,966
9075,9059,1779
9076,8995,1
9077,9004,3
9077,9039,1
9078,8987,67
9078,9003,37
9078,9004,10
9078,9036,13
9078,9059,14
9079,8991,1
9079,9003,45
9079,9004,105
9079,9008,1
9079,9028,10
9079,9036,63
9079,9039,3
9079,9043,27
9079,9045,30
9079,9047,124
9079,9058,12
9079,9059,128
9080,9003,20
9080,9004,19
9080,9036,39
9080,9043,21
9080,9045,76
9080,9047,13
9080,9059,39
9081,8995,50
9081,9059,1
9082,8992,4
9083,8995,87
9083,9003,9
9083,9004,2
9083,9036,44
9083,9059,50
9084,9003,26
9084,9004,1
9085,8993,14
9086,8994,66
9086,9003,1
9086,9058,605
9087,8994,7859
9087,9003,19
9087,9004,10
9087,9036,1
9087,9051,1
9088,9036,1
9088,9059,1
9089,9003,17
9089,9012,8
9089,9036,1
9089,9058,1
9089,9059,6
9090,8995,34
9090,9003,2
9090,9036,46
9090,9038,1
9090,9045,6
9090,9058,3
9090,9059,81
9091,8995,6149
9091,9003,35
9091,9004,8
9091,9036,560
9091,9059,441
9092,8994,30
9092,9003,1
9092,9036,27
9092,9058,26
9092,9059,27
9093,8987,17
9093,8994,1
9093,8996,70
9093,9003,507
9093,9004,556
9093,9008,49
9093,9036,1314
9093,9038,2
9093,9039,1
9093,9043,363
9093,9045,1109
9093,9047,585
9093,9059,2063
9094,9003,12
9094,9004,42
9094,9036,32
9094,9045,5
9094,9051,1
9094,9059,44
9095,8997,3
9096,8994,56
9096,8998,2541
9096,9003,19
9096,9021,4
9096,9036,1
9096,9058,6
9096,9059,10
9097,9003,8
9097,9004,7
9098,8999,23
9099,8995,39
9099,9000,4
9099,9003,19
9099,9004,3
9099,9036,40
9099,9047,1
9099,9059,32
9100,8995,3
9100,9036,2
9100,9059,1
9101,9003,25
9101,9017,2
9102,8995,1
9102,9001,2
9102,9036,29
9102,9059,8
9103,9036,11
9103,9059,6
9104,9003,34
9104,9004,53
9104,9008,1
9104,9036,14
9104,9039,1
9104,9043,168
9104,9045,352
9104,9047,16
9104,9059,12
9105,9002,50
9106,9003,7973
9106,9004,2
9106,9059,1
9107,8996,1
9107,9003,10
9107,9004,12216
9107,9008,5
9107,9036,5
9107,9045,1
9107,9047,1
9107,9059,28
9108,9005,2
9109,9006,54
9110,9043,1
9110,9045,6
9111,9007,14
9112,9021,3
9113,9036,119
9113,9059,169
9114,8987,2
9114,9003,91
9114,9004,28
9114,9008,1109
9114,9031,50
9114,9045,8
9114,9047,1
9114,9059,24
9115,9009,19
9116,9010,5
9117,9011,15
9118,9012,348
9118,9056,1
9119,9003,51
9119,9004,131
9119,9036,234
9119,9043,90
9119,9045,256
9119,9047,85
9119,9059,189
9120,9013,9
9121,9014,2
9122,9015,82
9123,9016,51
9124,8987,1
9124,8994,1
9124,9003,245
9124,9004,26
9124,9017,986
9124,9036,2
9124,9059,3
9125,9003,195
9125,9004,103
9125,9017,1
9125,9018,1
9125,9036,173
9125,9039,1
9125,9043,50
9125,9045,163
9125,9047,58
9125,9059,173
9126,8994,18
9126,9004,3
9126,9036,14
9126,9058,109
9126,9059,34
9127,9036,8
9127,9059,6
9128,8994,65
9128,8998,5
9128,9003,3
9128,9058,4
9129,9004,1
9129,9036,1
9129,9047,14
9130,9019,11
9131,9036,36
9131,9039,13
9131,9059,81
9132,8995,2
9132,9003,84
9132,9004,127
9132,9008,1
9132,9036,230
9132,9043,1
9132,9045,21
9132,9047,42
9132,9058,1
9132,9059,229
9133,9020,20
9134,9003,4
9134,9058,32
9134,9059,3
9134,9060,4
9135,9003,1
9135,9036,3
