source,target,count
9351,9258,4
9352,9310,7
9353,9219,5
9354,9334,4
9355,9236,3
9356,9334,9
9357,9268,5
9358,9336,8
9359,9347,4
9360,9310,9
9361,9223,1
9362,9236,3
9363,9278,14
9364,9258,8
9365,9258,6
9366,9258,6
9367,9232,7
9368,9334,5
9369,9268,4
9370,9342,10
9371,9347,4
9372,9347,4
9373,9291,9
9374,9336,113
9375,9278,3
9376,9268,12
9377,9278,7
9378,9235,345
9379,9235,49
9380,9236,5
9381,9334,8
9382,9336,7
9383,9246,7
9384,9334,4
9385,9278,3
9386,9268,3
9387,9227,3
9388,9291,8
9389,9338,9
9390,9336,17
9391,9264,5
9392,9236,3
9393,9334,40
9394,9334,5
9395,9258,14
9396,9312,5
9397,9235,18
9398,9218,2
9399,9334,2
9400,9332,3
9401,9276,8
9402,9291,3
9403,9321,9
9404,9254,3
9405,9342,5
9406,9300,5
9407,9219,27
9408,9334,5
9409,9271,3
9410,9268,3
9411,9276,7
9412,9334,6
9413,9268,6
9414,9347,9
9415,9236,245
9416,9333,3
9417,9268,4
9418,9232,17
9419,9329,6
9420,9268,4
9421,9236,3
9422,9334,4
9423,9268,3
9424,9278,11
9425,9268,3
9426,9268,4
9427,9291,6
9428,9236,6
9429,9236,15
9430,9334,3
9431,9268,12
9432,9342,3
9433,9334,3
9434,9236,3
9435,9268,14
9436,9236,23
9437,9268,3
9438,9236,6
9439,9334,3
9440,9336,4
9441,9311,23
9442,9342,3
9443,9268,14
9444,9291,3
9445,9265,9
9446,9334,6
9447,9304,3
9448,9272,3
9449,9272,6
9450,9328,5
9451,9258,22
9452,9304,2
9453,9258,7
9454,9297,7
9455,9236,3
9456,9223,1
9457,9276,3
9458,9236,6
9459,9291,10
9460,9236,4
9461,9328,3
9462,9328,4
9463,9268,9
9464,9310,2
9465,9300,26
9466,9268,15
9467,9268,5
9468,9268,9
9469,9268,4
9470,9236,14
9471,9215,2
9472,9310,4
9473,9336,18
9474,9310,5
9475,9336,20
9476,9310,4
9477,9227,10
9478,9334,3
9479,9276,3
9480,9334,2
9481,9258,6
9482,9334,4
9483,9268,12
9484,9347,3
9485,9236,3
9486,9334,4
9487,9309,10
9488,9232,1
9489,9236,14
9490,9268,10
9491,9254,6
9492,9232,4
9493,9268,6
9494,9342,13
9495,9312,3
9496,9236,15
9497,9278,6
9498,9278,3
9499,9278,3
9500,9268,14
9501,9278,4
9502,9268,3
9503,9258,13
9504,9223,2
9505,9334,2
9506,9219,9
9507,9258,7
9508,9291,9
9509,9227,10
9510,9268,3
9511,9334,14
9512,9268,12
9513,9334,12
9514,9268,4
9515,9258,11
9516,9236,5
9517,9236,5
9518,9268,4
9519,9268,6
9520,9236,5
9521,9223,8
9522,9258,4
9523,9334,13
9524,9258,3
9525,9334,4
9526,9291,3
9527,9258,5
9528,9334,2
9529,9268,8
9530,9291,4
9531,9268,4
9532,9271,18
9533,9258,2
9534,9258,12
9535,9272,4
9536,9334,16
9537,9334,3
9538,9268,10
9539,9268,8
9540,9328,4
9541,9268,3
